Serial No.,ScreenTimeHrs,Normalized_Screen_Time_hrs,ZoomMeetings,Normalized_ZoomMeetings_Hrs,StressLevel,Normalized_StressLevels,SleepHours,Normalized_SleepHours,BreaksTaken,Normalized_BreakTaken,ExerciseTime_Mins,Normalized_Exercise_Time,Self_Reported_Stress,Self_Reported_Productivity,Stress_Score,Normalized_StressScore,Burnout_Score,Productivity_Score,Mood,Work_Life_Balance (Out of 100)
1,9,0.5109489051,6,0.6666666667,8,0.7777777778,8.6,0.8,1,0.1666666667,0.64,0.3018867925,2,6,82.16860855,53.08292861,70.61919846,29.38080154,Bad,29
2,7.7,0.4160583942,0,0,5,0.4444444444,5.9,0.4142857143,5,0.8333333333,0.57,0.2688679245,1,2,76.4374932,24.63304804,17.15757373,82.84242627,Very Good,83
3,9.3,0.5328467153,7,0.7777777778,6,0.5555555556,6,0.4285714286,2,0.3333333333,1.01,0.4764150943,3,2,84.88312424,66.55808003,67.36313595,32.63686405,Bad,33
4,11,0.6569343066,2,0.2222222222,4,0.3333333333,3,0,6,1,0.42,0.1981132075,2,4,83.55466801,59.96347871,44.34268313,55.65731687,Neutral,56
5,7.5,0.401459854,5,0.5555555556,9,0.8888888889,7.1,0.5857142857,4,0.6666666667,2.12,1,1,9,77.10666203,27.954875,48.73838489,51.26161511,Neutral,51
6,7.5,0.401459854,8,0.8888888889,8,0.7777777778,4.5,0.2142857143,2,0.3333333333,1.65,0.7783018868,1,3,84.96488306,66.96393971,77.64853763,22.35146237,Bad,22
7,11.2,0.6715328467,5,0.5555555556,10,1,5.7,0.3857142857,2,0.3333333333,0.41,0.1933962264,2,6,85.96714039,71.93925422,100,0,Very Bad,0
8,9.5,0.5474452555,8,0.8888888889,10,1,5,0.2857142857,4,0.6666666667,0.45,0.2122641509,9,2,86.78412611,75.9948603,100,0,Very Bad,0
9,7.1,0.3722627737,6,0.6666666667,1,0,6,0.4285714286,3,0.5,1,0.4716981132,5,1,81.74059719,50.95823363,16.71132797,83.28867203,Very Good,83
10,9.1,0.5182481752,8,0.8888888889,2,0.1111111111,7.2,0.6,4,0.6666666667,1.35,0.6367924528,9,5,82.27975638,53.63467858,29.24793034,70.75206966,Good,71
11,7.1,0.3722627737,1,0.1111111111,9,0.8888888889,6.5,0.5,2,0.3333333333,0.32,0.1509433962,8,8,78.67440971,35.73734515,55.42800961,44.57199039,Neutral,45
12,7.1,0.3722627737,7,0.7777777778,8,0.7777777778,7.6,0.6571428571,5,0.8333333333,0.39,0.1839622642,6,10,80.61852471,45.38814369,60.05334654,39.94665346,Bad,40
